company,winrate_5,winrate_10,winrate_15,winrate_20,winrate_25,winrate_30
SSI,50.0,31.25,31.25,50.0,43.75,31.25
BCM,60.0,60.0,40.0,40.0,60.0,60.0
VHM,28.57142857142857,35.714285714285715,35.714285714285715,64.28571428571429,64.28571428571429,50.0
VIC,43.75,37.5,31.25,37.5,37.5,31.25
VRE,36.36363636363637,36.36363636363637,45.45454545454545,45.45454545454545,63.63636363636363,45.45454545454545
BVH,57.14285714285714,52.38095238095239,66.66666666666666,57.14285714285714,42.857142857142854,42.857142857142854
POW,61.111111111111114,61.111111111111114,55.55555555555556,55.55555555555556,44.44444444444444,44.44444444444444
GAS,41.66666666666667,41.66666666666667,25.0,25.0,25.0,25.0
ACB,100.0,100.0,100.0,100.0,100.0,100.0
BID,33.33333333333333,33.33333333333333,66.66666666666666,83.33333333333334,83.33333333333334,66.66666666666666
CTG,60.0,60.0,60.0,80.0,80.0,80.0
HDB,50.0,50.0,50.0,50.0,50.0,33.33333333333333
MBB,57.14285714285714,42.857142857142854,42.857142857142854,42.857142857142854,57.14285714285714,57.14285714285714
SSB,0.0,0.0,,,,
SHB,58.333333333333336,50.0,66.66666666666666,75.0,66.66666666666666,66.66666666666666
STB,57.14285714285714,57.14285714285714,57.14285714285714,57.14285714285714,57.14285714285714,28.57142857142857
TCB,40.0,10.0,10.0,10.0,10.0,10.0
TPB,55.55555555555556,55.55555555555556,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
VCB,28.57142857142857,14.285714285714285,28.57142857142857,28.57142857142857,42.857142857142854,14.285714285714285
VIB,42.857142857142854,42.857142857142854,28.57142857142857,71.42857142857143,57.14285714285714,71.42857142857143
VPB,57.14285714285714,57.14285714285714,57.14285714285714,42.857142857142854,28.57142857142857,85.71428571428571
HPG,50.0,50.0,33.33333333333333,50.0,66.66666666666666,66.66666666666666
GVR,50.0,66.66666666666666,66.66666666666666,83.33333333333334,50.0,66.66666666666666
MSN,27.27272727272727,45.45454545454545,36.36363636363637,27.27272727272727,54.54545454545454,27.27272727272727
VNM,91.66666666666666,58.333333333333336,66.66666666666666,75.0,66.66666666666666,50.0
SAB,31.57894736842105,31.57894736842105,21.052631578947366,21.052631578947366,15.789473684210526,21.052631578947366
VJC,42.857142857142854,42.857142857142854,42.857142857142854,42.857142857142854,50.0,57.14285714285714
MWG,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,55.55555555555556,66.66666666666666
PLX,72.72727272727273,45.45454545454545,54.54545454545454,63.63636363636363,54.54545454545454,54.54545454545454
FPT,100.0,100.0,100.0,100.0,75.0,50.0
