Company,Final Portfolio Value,Total Profit,Rate of Return
SSI,233300484,73300484,45.8128025
BCM,154259910,-5740090,-3.58755625
VHM,110776720,-49223280,-30.76455
VIC,139882727,-20117273,-12.573295625
VRE,181404950,21404950,13.37809375
BVH,116029900,-43970100,-27.481312499999998
POW,186176902,26176902,16.36056375
GAS,243225660,83225660,52.0160375
ACB,288208000,128208000,80.13
BID,198777540,38777540,24.2359625
CTG,255910920,95910920,59.944325
HDB,323639360,163639360,102.27459999999999
MBB,162585690,2585690,1.61605625
SSB,158429420,-1570580,-0.9816125
SHB,120795680,-39204320,-24.5027
STB,151676050,-8323950,-5.2024687499999995
TCB,114056580,-45943420,-28.714637500000002
TPB,194780270,34780270,21.73766875
VCB,304454990,144454990,90.28436875
VIB,155655820,-4344180,-2.7151125
VPB,276406540,116406540,72.7540875
HPG,173713140,13713140,8.570712499999999
GVR,119940860,-40059140,-25.036962499999998
MSN,106256180,-53743820,-33.589887499999996
VNM,166947080,6947080,4.341925
SAB,200570420,40570420,25.3565125
VJC,171883500,11883500,7.4271875000000005
MWG,153648800,-6351200,-3.9695
PLX,127429270,-32570730,-20.356706250000002
FPT,217847020,57847020,36.1543875
